Data;Tipo;CnpjCpf;Numero;Serie;Modelo;Chave;ValorTotal;ValorProd;ValorICMS;ValorIPI;Status
16/04/2017;E;4867532983;515521624;3;55;8.99588614556625E+043;9919.8;9622.21;1732;769.78;AUTORIZADO
13/04/2017;S;16302620996;840634959;3;55;7.24940928519533E+043;1992.3;1932.53;347.86;154.6;AUTORIZADO
15/04/2017;E;3109491656;319442739;7;55;8.78589635865489E+043;8083.4;7840.9;1411.36;627.27;CANCELADO
02/04/2017;S;16509995697;71279186;5;55;8.59842433470176E+043;6910.9;6703.57;1206.64;536.29;REJEITADO
06/04/2017;S;6754688769;449942539;2;55;8.00570615658917E+043;337.5;327.38;58.93;26.19;AUTORIZADO
19/04/2017;E;19662060898;80277969;7;55;1.95298995119224E+043;9894.6;9597.76;1727.6;767.82;REJEITADO
04/04/2017;E;46742390107;22872929;9;55;2.85792345444551E+043;7550.3;7323.79;1318.28;585.9;AUTORIZADO
22/04/2017;S;82782964569;431881207;4;55;5.73940460206748E+043;3674.7;3564.46;641.6;285.16;DENEGADO
10/04/2017;S;65641681873;691054352;3;55;7.64688759748688E+043;6881.1;6674.67;1201.44;533.97;AUTORIZADO
13/04/2017;E;60225563410;746194916;4;55;1.70100854703804E+043;2263.7;2195.79;395.24;175.66;REJEITADO
16/04/2017;S;14047722197;562165031;9;55;9.90590757375257E+043;3076.8;2984.5;537.21;238.76;AUTORIZADO
15/04/2017;E;56836160938;690960679;3;55;7.02227759028272E+043;8252.1;8004.54;1440.82;640.36;AUTORIZADO
21/04/2017;E;94986730711;234190123;6;55;2.36327480757693E+043;9779.8;9486.41;1707.55;758.91;CANCELADO
09/04/2017;S;90080246834;543552555;3;55;8.3019079476296E+043;8224.5;7977.77;1436;638.22;AUTORIZADO
20/04/2017;E;57475216241;975120240;8;55;4.50075453324413E+043;8645.2;8385.84;1509.45;670.87;DENEGADO
12/04/2017;E;46540877536;141655649;5;55;2.37131490655393E+042;9759.4;9466.62;1703.99;757.33;DENEGADO
11/04/2017;S;6587802559;224348078;4;55;5.73554087753639E+043;5070.4;4918.29;885.29;393.46;AUTORIZADO
13/04/2017;E;28029638990;450089539;7;55;9.17499794360238E+043;2276.2;2207.91;397.42;176.63;CANCELADO
